Epoch 01 | TRAIN loss: 1.1451, acc: 0.5178 | VALID loss: 0.8399, acc: 0.6683 | LR: 1.00e-04
Epoch 02 | TRAIN loss: 0.9931, acc: 0.5902 | VALID loss: 0.7932, acc: 0.6836 | LR: 1.00e-04
Epoch 03 | TRAIN loss: 0.9273, acc: 0.6226 | VALID loss: 0.7639, acc: 0.7000 | LR: 1.00e-04
Epoch 04 | TRAIN loss: 0.8969, acc: 0.6351 | VALID loss: 0.7386, acc: 0.7153 | LR: 1.00e-04
Epoch 05 | TRAIN loss: 0.8615, acc: 0.6534 | VALID loss: 0.8076, acc: 0.6978 | LR: 1.00e-04
Epoch 06 | TRAIN loss: 0.8423, acc: 0.6644 | VALID loss: 0.7225, acc: 0.7175 | LR: 1.00e-04
Epoch 07 | TRAIN loss: 0.8191, acc: 0.6710 | VALID loss: 0.7286, acc: 0.7223 | LR: 1.00e-04
Epoch 08 | TRAIN loss: 0.7966, acc: 0.6792 | VALID loss: 0.7235, acc: 0.7268 | LR: 1.00e-04
Epoch 09 | TRAIN loss: 0.7797, acc: 0.6898 | VALID loss: 0.7172, acc: 0.7271 | LR: 1.00e-04
Epoch 10 | TRAIN loss: 0.7644, acc: 0.6979 | VALID loss: 0.7130, acc: 0.7348 | LR: 1.00e-04
Epoch 11 | TRAIN loss: 0.7492, acc: 0.7055 | VALID loss: 0.7150, acc: 0.7383 | LR: 1.00e-04
Epoch 12 | TRAIN loss: 0.7325, acc: 0.7088 | VALID loss: 0.7449, acc: 0.7311 | LR: 1.00e-04
Epoch 13 | TRAIN loss: 0.7156, acc: 0.7138 | VALID loss: 0.7258, acc: 0.7367 | LR: 1.00e-04
Epoch 14 | TRAIN loss: 0.7002, acc: 0.7234 | VALID loss: 0.7572, acc: 0.7293 | LR: 1.00e-04
Epoch 15 | TRAIN loss: 0.6489, acc: 0.7458 | VALID loss: 0.7224, acc: 0.7451 | LR: 5.00e-05
Epoch 16 | TRAIN loss: 0.6209, acc: 0.7545 | VALID loss: 0.7280, acc: 0.7480 | LR: 5.00e-05
Epoch 17 | TRAIN loss: 0.6020, acc: 0.7629 | VALID loss: 0.7550, acc: 0.7600 | LR: 5.00e-05
Epoch 18 | TRAIN loss: 0.5969, acc: 0.7666 | VALID loss: 0.7633, acc: 0.7509 | LR: 5.00e-05
Epoch 19 | TRAIN loss: 0.5644, acc: 0.7767 | VALID loss: 0.7611, acc: 0.7556 | LR: 2.50e-05
Epoch 20 | TRAIN loss: 0.5504, acc: 0.7850 | VALID loss: 0.7747, acc: 0.7509 | LR: 2.50e-05
